fecha;hospital;provincia;camas_iniciales_planta;camas_habilitadas_planta;camas_ocupadas_planta;camas_iniciales_uci;camas_habilitadas_uci;camas_ocupadas_uci;camas_ocupadas_covid_uci;codigo_ine
01/03/2022;Complejo Asistencial Universitario de Burgos;Burgos;842;785;566;42;47;34;6;9059
01/03/2022;Hospital El Bierzo;León;391;391;248;14;14;4;0;24089
01/03/2022;Complejo Asistencial Universitario de Palencia;Palencia;451;426;299;20;23;10;1;34120
01/03/2022;Hospital Clínico Universitario de Valladolid;Valladolid;674;615;480;57;66;39;5;47186
01/03/2022;Edificio Rondilla;Valladolid;0;0;0;0;0;0;0;47186
01/03/2022;Complejo Asistencial de Zamora;Zamora;395;359;306;17;19;7;6;49275
02/03/2022;Complejo Asistencial de Ávila;Ávila;422;360;266;14;14;7;1;5019
02/03/2022;Complejo Asistencial Universitario de León;León;850;876;627;44;62;33;8;24089
02/03/2022;Complejo Asistencial Universitario de Palencia;Palencia;451;430;312;20;23;10;0;34120
02/03/2022;Complejo Asistencial Universitario de Salamanca;Salamanca;721;700;592;60;61;40;1;37274
02/03/2022;Complejo Asistencial de Soria;Soria;319;278;167;14;14;9;1;42173
02/03/2022;Hospital Clínico Universitario de Valladolid;Valladolid;674;619;479;57;66;40;5;47186
02/03/2022;Hospital Universitario Río Hortega;Valladolid;573;538;435;33;41;40;10;47186
03/03/2022;Complejo Asistencial de Ávila;Ávila;422;360;218;14;14;10;2;5019
03/03/2022;Hospital Santiago Apóstol;Burgos;114;109;74;0;0;0;0;9059
03/03/2022;Complejo Asistencial Universitario de Salamanca;Salamanca;721;692;579;60;61;39;1;37274
03/03/2022;Hospital Clínico Universitario de Valladolid;Valladolid;674;613;481;57;66;48;7;47186
03/03/2022;Hospital de Medina del Campo;Valladolid;119;119;60;0;0;0;0;47186
03/03/2022;Complejo Asistencial de Zamora;Zamora;395;359;308;17;19;8;6;49275
04/03/2022;Complejo Asistencial de Ávila;Ávila;422;360;274;14;14;11;2;5019
04/03/2022;Hospital Santos Reyes;Burgos;114;114;58;0;0;0;0;9059
04/03/2022;Hospital El Bierzo;León;391;391;264;14;14;3;0;24089
04/03/2022;Edificio Rondilla;Valladolid;0;0;0;0;0;0;0;47186
05/03/2022;Complejo Asistencial de Ávila;Ávila;422;360;231;14;14;9;2;5019
05/03/2022;Hospital El Bierzo;León;391;391;246;14;14;4;0;24089
05/03/2022;Hospital Universitario Río Hortega;Valladolid;573;542;394;33;41;34;10;47186
06/03/2022;Complejo Asistencial de Ávila;Ávila;422;360;230;14;14;9;2;5019
06/03/2022;Hospital Santiago Apóstol;Burgos;114;111;60;0;0;0;0;9059
06/03/2022;Hospital Santos Reyes;Burgos;114;114;50;0;0;0;0;9059
06/03/2022;Hospital El Bierzo;León;391;391;261;14;14;1;0;24089
06/03/2022;Complejo Asistencial Universitario de Palencia;Palencia;451;407;275;20;23;11;0;34120
06/03/2022;Complejo Asistencial de Segovia;Segovia;365;325;175;16;31;7;1;40004
07/03/2022;Hospital Santos Reyes;Burgos;114;114;58;0;0;0;0;9059
07/03/2022;Complejo Asistencial Universitario de León;León;850;876;593;44;62;25;7;24089
07/03/2022;Hospital El Bierzo;León;391;391;266;14;14;1;0;24089
07/03/2022;Complejo Asistencial de Soria;Soria;319;282;191;14;14;6;1;42173
07/03/2022;Hospital de Medina del Campo;Valladolid;119;119;51;0;0;0;0;47186
07/03/2022;Hospital Universitario Río Hortega;Valladolid;573;541;426;33;41;33;9;47186
07/03/2022;Complejo Asistencial de Zamora;Zamora;395;357;300;17;19;8;5;49275
08/03/2022;Complejo Asistencial Universitario de Burgos;Burgos;842;775;594;42;47;37;7;9059
08/03/2022;Hospital Santos Reyes;Burgos;114;114;56;0;0;0;0;9059
08/03/2022;Complejo Asistencial Universitario de Palencia;Palencia;451;426;289;20;23;13;1;34120
09/03/2022;Complejo Asistencial Universitario de Burgos;Burgos;842;772;608;42;47;33;6;9059
09/03/2022;Hospital Santiago Apóstol;Burgos;114;108;68;0;0;0;0;9059
09/03/2022;Hospital Santos Reyes;Burgos;114;114;53;0;0;0;0;9059
09/03/2022;Complejo Asistencial Universitario de Palencia;Palencia;451;429;298;20;23;14;0;34120
09/03/2022;Complejo Asistencial Universitario de Salamanca;Salamanca;721;719;589;60;61;38;0;37274
09/03/2022;Hospital de Medina del Campo;Valladolid;119;119;54;0;0;0;0;47186
09/03/2022;Hospital Universitario Río Hortega;Valladolid;573;542;435;33;41;38;7;47186
09/03/2022;Edificio Rondilla;Valladolid;0;0;0;0;0;0;0;47186
10/03/2022;Complejo Asistencial de Ávila;Ávila;422;360;234;14;14;8;2;5019
10/03/2022;Complejo Asistencial Universitario de León;León;850;876;642;44;62;31;7;24089
10/03/2022;Hospital de Medina del Campo;Valladolid;119;119;58;0;0;0;0;47186
11/03/2022;Complejo Asistencial de Ávila;Ávila;422;360;254;14;14;7;2;5019
11/03/2022;Hospital Santos Reyes;Burgos;114;114;60;0;0;0;0;9059
11/03/2022;Complejo Asistencial Universitario de Palencia;Palencia;451;429;291;20;23;16;0;34120
11/03/2022;Complejo Asistencial Universitario de Salamanca;Salamanca;721;722;619;60;61;40;0;37274
11/03/2022;Hospital de Medina del Campo;Valladolid;119;119;66;0;0;0;0;47186
12/03/2022;Complejo Asistencial Universitario de León;León;850;876;576;44;62;34;7;24089
12/03/2022;Hospital El Bierzo;León;391;391;252;14;14;3;0;24089
12/03/2022;Complejo Asistencial Universitario de Salamanca;Salamanca;721;716;618;60;61;32;0;37274
12/03/2022;Hospital de Medina del Campo;Valladolid;119;119;66;0;0;0;0;47186
13/03/2022;Complejo Asistencial Universitario de Palencia;Palencia;451;408;250;20;23;15;0;34120
13/03/2022;Complejo Asistencial Universitario de Salamanca;Salamanca;721;714;627;60;61;35;0;37274
13/03/2022;Complejo Asistencial de Segovia;Segovia;365;325;187;16;31;7;1;40004
13/03/2022;Hospital Clínico Universitario de Valladolid;Valladolid;674;638;455;57;66;45;5;47186
13/03/2022;Edificio Rondilla;Valladolid;0;0;0;0;0;0;0;47186
14/03/2022;Hospital Santiago Apóstol;Burgos;114;109;59;0;0;0;0;9059
14/03/2022;Hospital Universitario Río Hortega;Valladolid;573;538;419;33;41;33;6;47186
14/03/2022;Edificio Rondilla;Valladolid;0;0;0;0;0;0;0;47186
15/03/2022;Complejo Asistencial de Ávila;Ávila;422;360;224;14;14;8;0;5019
15/03/2022;Hospital Santiago Apóstol;Burgos;114;107;70;0;0;0;0;9059
15/03/2022;Complejo Asistencial Universitario de León;León;850;876;673;44;62;39;7;24089
15/03/2022;Hospital El Bierzo;León;391;391;255;14;14;6;1;24089
15/03/2022;Complejo Asistencial de Segovia;Segovia;365;325;219;16;31;10;2;40004
16/03/2022;Complejo Asistencial de Soria;Soria;319;277;194;14;14;8;2;42173
16/03/2022;Hospital Universitario Río Hortega;Valladolid;573;539;404;33;41;28;6;47186
17/03/2022;Complejo Asistencial de Ávila;Ávila;422;360;245;14;14;8;0;5019
17/03/2022;Complejo Asistencial Universitario de Burgos;Burgos;842;781;606;42;47;37;5;9059
17/03/2022;Hospital Santiago Apóstol;Burgos;114;106;73;0;0;0;0;9059
17/03/2022;Hospital Santos Reyes;Burgos;114;114;68;0;0;0;0;9059
17/03/2022;Complejo Asistencial Universitario de León;León;850;876;689;44;62;42;6;24089
17/03/2022;Complejo Asistencial Universitario de Palencia;Palencia;451;431;293;20;23;16;0;34120
17/03/2022;Complejo Asistencial de Segovia;Segovia;365;325;218;16;31;10;2;40004
17/03/2022;Edificio Rondilla;Valladolid;0;0;0;0;0;0;0;47186
18/03/2022;Complejo Asistencial de Segovia;Segovia;365;325;226;16;31;8;2;40004
18/03/2022;Hospital Clínico Universitario de Valladolid;Valladolid;674;631;481;57;66;45;5;47186
18/03/2022;Hospital Universitario Río Hortega;Valladolid;573;538;420;33;41;24;5;47186
18/03/2022;Edificio Rondilla;Valladolid;0;0;0;0;0;0;0;47186
18/03/2022;Complejo Asistencial de Zamora;Zamora;395;359;276;17;19;6;2;49275
19/03/2022;Complejo Asistencial Universitario de Burgos;Burgos;842;781;511;42;47;35;6;9059
19/03/2022;Complejo Asistencial Universitario de León;León;850;876;590;44;62;36;5;24089
19/03/2022;Hospital El Bierzo;León;391;391;216;14;14;7;0;24089
19/03/2022;Complejo Asistencial Universitario de Palencia;Palencia;451;417;262;20;23;18;0;34120
19/03/2022;Complejo Asistencial Universitario de Salamanca;Salamanca;721;743;640;60;61;39;0;37274
19/03/2022;Complejo Asistencial de Segovia;Segovia;365;325;199;16;31;6;1;40004
19/03/2022;Complejo Asistencial de Soria;Soria;319;270;179;14;14;7;1;42173
19/03/2022;Hospital Clínico Universitario de Valladolid;Valladolid;674;633;441;57;66;41;6;47186
19/03/2022;Hospital de Medina del Campo;Valladolid;119;119;58;0;0;0;0;47186
19/03/2022;Hospital Universitario Río Hortega;Valladolid;573;542;374;33;41;24;4;47186
19/03/2022;Edificio Rondilla;Valladolid;0;0;0;0;0;0;0;47186
20/03/2022;Complejo Asistencial Universitario de Burgos;Burgos;842;780;501;42;47;35;6;9059
20/03/2022;Complejo Asistencial Universitario de León;León;850;876;573;44;62;29;4;24089
20/03/2022;Complejo Asistencial Universitario de Palencia;Palencia;451;418;272;20;23;16;0;34120
21/03/2022;Complejo Asistencial de Ávila;Ávila;422;360;219;14;14;8;0;5019
21/03/2022;Complejo Asistencial Universitario de Burgos;Burgos;842;781;558;42;47;27;6;9059
21/03/2022;Complejo Asistencial Universitario de León;León;850;876;649;44;62;31;4;24089
21/03/2022;Complejo Asistencial de Soria;Soria;319;270;176;14;14;7;1;42173
21/03/2022;Hospital Clínico Universitario de Valladolid;Valladolid;674;636;462;57;66;42;5;47186
21/03/2022;Complejo Asistencial de Zamora;Zamora;395;359;268;17;19;5;2;49275
22/03/2022;Complejo Asistencial Universitario de Burgos;Burgos;842;777;555;42;47;28;5;9059
22/03/2022;Hospital Santiago Apóstol;Burgos;114;109;58;0;0;0;0;9059
22/03/2022;Hospital Santos Reyes;Burgos;114;114;77;0;0;0;0;9059
22/03/2022;Hospital Clínico Universitario de Valladolid;Valladolid;674;636;474;57;66;45;6;47186
22/03/2022;Hospital Universitario Río Hortega;Valladolid;573;535;443;33;41;25;2;47186
22/03/2022;Complejo Asistencial de Zamora;Zamora;395;358;270;17;19;7;2;49275
23/03/2022;Complejo Asistencial Universitario de Burgos;Burgos;842;782;578;42;47;29;5;9059
23/03/2022;Hospital de Medina del Campo;Valladolid;119;119;64;0;0;0;0;47186
23/03/2022;Edificio Rondilla;Valladolid;0;0;0;0;0;0;0;47186
24/03/2022;Complejo Asistencial de Ávila;Ávila;422;360;252;14;14;8;0;5019
24/03/2022;Hospital Santiago Apóstol;Burgos;114;109;49;0;0;0;0;9059
24/03/2022;Hospital El Bierzo;León;391;391;262;14;14;6;0;24089
24/03/2022;Complejo Asistencial de Segovia;Segovia;365;325;221;16;31;12;0;40004
24/03/2022;Complejo Asistencial de Soria;Soria;319;269;192;14;14;7;1;42173
24/03/2022;Complejo Asistencial de Zamora;Zamora;395;359;272;17;19;6;1;49275
25/03/2022;Hospital Santos Reyes;Burgos;114;114;56;0;0;0;0;9059
25/03/2022;Complejo Asistencial Universitario de Palencia;Palencia;451;455;299;20;23;17;0;34120
25/03/2022;Complejo Asistencial Universitario de Salamanca;Salamanca;721;743;611;60;54;43;0;37274
25/03/2022;Hospital de Medina del Campo;Valladolid;119;119;55;0;0;0;0;47186
25/03/2022;Hospital Universitario Río Hortega;Valladolid;573;538;425;33;41;28;3;47186
25/03/2022;Edificio Rondilla;Valladolid;0;0;0;0;0;0;0;47186
26/03/2022;Complejo Asistencial de Ávila;Ávila;422;360;203;14;14;7;0;5019
26/03/2022;Complejo Asistencial Universitario de Burgos;Burgos;842;784;503;42;47;24;2;9059
26/03/2022;Hospital El Bierzo;León;391;391;240;14;14;3;0;24089
26/03/2022;Complejo Asistencial de Segovia;Segovia;365;325;194;16;31;8;0;40004
26/03/2022;Hospital Universitario Río Hortega;Valladolid;573;541;380;33;41;30;4;47186
26/03/2022;Edificio Rondilla;Valladolid;0;0;0;0;0;0;0;47186
27/03/2022;Complejo Asistencial de Ávila;Ávila;422;360;212;14;14;7;0;5019
27/03/2022;Hospital Santiago Apóstol;Burgos;114;110;51;0;0;0;0;9059
27/03/2022;Complejo Asistencial Universitario de León;León;850;876;610;44;62;31;3;24089
27/03/2022;Complejo Asistencial Universitario de Salamanca;Salamanca;721;743;601;60;54;42;0;37274
27/03/2022;Complejo Asistencial de Segovia;Segovia;365;325;199;16;31;9;0;40004
27/03/2022;Hospital Clínico Universitario de Valladolid;Valladolid;674;653;436;57;66;43;7;47186
27/03/2022;Hospital Universitario Río Hortega;Valladolid;573;538;390;33;41;27;4;47186
27/03/2022;Complejo Asistencial de Zamora;Zamora;395;358;250;17;19;6;1;49275
28/03/2022;Complejo Asistencial de Ávila;Ávila;422;360;246;14;14;6;0;5019
28/03/2022;Complejo Asistencial Universitario de Burgos;Burgos;842;784;557;42;47;31;4;9059
28/03/2022;Complejo Asistencial de Soria;Soria;319;264;185;14;14;6;0;42173
28/03/2022;Hospital Clínico Universitario de Valladolid;Valladolid;674;653;476;57;66;42;7;47186
29/03/2022;Hospital Santos Reyes;Burgos;114;114;66;0;0;0;0;9059
29/03/2022;Complejo Asistencial Universitario de Palencia;Palencia;451;435;295;20;23;14;0;34120
29/03/2022;Complejo Asistencial de Segovia;Segovia;365;325;217;16;31;14;1;40004
29/03/2022;Edificio Rondilla;Valladolid;0;0;0;0;0;0;0;47186
30/03/2022;Complejo Asistencial Universitario de Burgos;Burgos;842;782;570;42;47;35;6;9059
30/03/2022;Hospital Santiago Apóstol;Burgos;114;106;65;0;0;0;0;9059
30/03/2022;Hospital El Bierzo;León;391;391;279;14;14;5;0;24089
30/03/2022;Complejo Asistencial de Soria;Soria;319;266;190;14;14;3;0;42173
30/03/2022;Hospital Clínico Universitario de Valladolid;Valladolid;674;643;492;57;66;47;6;47186
30/03/2022;Hospital Universitario Río Hortega;Valladolid;573;544;459;33;41;36;3;47186
30/03/2022;Complejo Asistencial de Zamora;Zamora;395;357;279;17;19;3;1;49275
31/03/2022;Hospital Santiago Apóstol;Burgos;114;102;67;0;0;0;0;9059
31/03/2022;Hospital de Medina del Campo;Valladolid;119;119;65;0;0;0;0;47186
31/03/2022;Edificio Rondilla;Valladolid;0;0;0;0;0;0;0;47186
01/04/2022;Complejo Asistencial de Ávila;Ávila;422;360;258;14;14;5;0;5019
01/04/2022;Hospital Santiago Apóstol;Burgos;114;101;83;0;0;0;0;9059
01/04/2022;Complejo Asistencial Universitario de León;León;850;876;681;44;62;35;4;24089
01/04/2022;Hospital El Bierzo;León;391;391;254;14;14;4;0;24089
01/04/2022;Complejo Asistencial Universitario de Palencia;Palencia;451;430;302;20;23;13;0;34120
01/04/2022;Complejo Asistencial Universitario de Salamanca;Salamanca;721;733;646;60;58;39;1;37274
01/04/2022;Hospital Clínico Universitario de Valladolid;Valladolid;674;648;494;57;66;40;6;47186
01/04/2022;Complejo Asistencial de Zamora;Zamora;395;357;262;17;19;5;1;49275
02/04/2022;Complejo Asistencial de Ávila;Ávila;422;360;216;14;14;5;0;5019
02/04/2022;Complejo Asistencial Universitario de León;León;850;876;588;44;62;31;4;24089
02/04/2022;Hospital El Bierzo;León;391;391;236;14;14;4;0;24089
02/04/2022;Complejo Asistencial Universitario de Salamanca;Salamanca;721;730;605;60;58;35;0;37274
02/04/2022;Complejo Asistencial de Soria;Soria;319;266;161;14;14;7;0;42173
02/04/2022;Hospital Universitario Río Hortega;Valladolid;573;544;430;33;41;29;4;47186
02/04/2022;Complejo Asistencial de Zamora;Zamora;395;356;242;17;19;4;1;49275
03/04/2022;Hospital Santos Reyes;Burgos;114;114;62;0;0;0;0;9059
03/04/2022;Complejo Asistencial Universitario de León;León;850;876;588;44;62;33;4;24089
03/04/2022;Hospital El Bierzo;León;391;391;245;14;14;5;0;24089
03/04/2022;Complejo Asistencial de Segovia;Segovia;365;325;178;16;31;6;1;40004
03/04/2022;Hospital de Medina del Campo;Valladolid;119;119;50;0;0;0;0;47186
03/04/2022;Hospital Universitario Río Hortega;Valladolid;573;544;430;33;41;26;5;47186
03/04/2022;Edificio Rondilla;Valladolid;0;0;0;0;0;0;0;47186
04/04/2022;Hospital Santiago Apóstol;Burgos;114;107;71;0;0;0;0;9059
04/04/2022;Hospital Santos Reyes;Burgos;114;114;76;0;0;0;0;9059
04/04/2022;Hospital El Bierzo;León;391;391;261;14;14;5;0;24089
04/04/2022;Edificio Rondilla;Valladolid;0;0;0;0;0;0;0;47186
04/04/2022;Complejo Asistencial de Zamora;Zamora;395;356;248;17;19;5;2;49275
05/04/2022;Complejo Asistencial de Ávila;Ávila;422;360;221;14;14;6;0;5019
05/04/2022;Complejo Asistencial Universitario de León;León;850;876;701;44;62;39;4;24089
05/04/2022;Hospital El Bierzo;León;391;391;255;14;14;6;0;24089
05/04/2022;Complejo Asistencial de Segovia;Segovia;365;325;206;16;31;10;1;40004
05/04/2022;Complejo Asistencial de Soria;Soria;319;270;172;14;14;3;0;42173
05/04/2022;Hospital Clínico Universitario de Valladolid;Valladolid;674;656;461;57;66;38;4;47186
05/04/2022;Edificio Rondilla;Valladolid;0;0;0;0;0;0;0;47186
05/04/2022;Complejo Asistencial de Zamora;Zamora;395;358;266;17;19;2;0;49275
06/04/2022;Complejo Asistencial Universitario de Burgos;Burgos;842;777;579;42;47;34;5;9059
06/04/2022;Hospital Santos Reyes;Burgos;114;114;60;0;0;0;0;9059
06/04/2022;Complejo Asistencial Universitario de Palencia;Palencia;451;431;285;20;23;16;0;34120
06/04/2022;Complejo Asistencial Universitario de Salamanca;Salamanca;721;738;638;60;58;40;0;37274
06/04/2022;Complejo Asistencial de Soria;Soria;319;270;173;14;14;4;0;42173
06/04/2022;Hospital de Medina del Campo;Valladolid;119;119;63;0;0;0;0;47186
07/04/2022;Hospital El Bierzo;León;391;391;280;14;14;5;0;24089
07/04/2022;Complejo Asistencial Universitario de Palencia;Palencia;451;431;278;20;23;10;0;34120
07/04/2022;Complejo Asistencial Universitario de Salamanca;Salamanca;721;741;628;60;58;47;0;37274
08/04/2022;Complejo Asistencial de Ávila;Ávila;422;360;255;14;14;5;0;5019
08/04/2022;Hospital Santos Reyes;Burgos;114;114;67;0;0;0;0;9059
08/04/2022;Complejo Asistencial Universitario de León;León;850;876;689;44;53;35;5;24089
08/04/2022;Complejo Asistencial Universitario de Palencia;Palencia;451;431;276;20;23;9;0;34120
08/04/2022;Complejo Asistencial de Zamora;Zamora;395;357;296;17;19;6;0;49275
09/04/2022;Complejo Asistencial Universitario de Burgos;Burgos;842;784;501;42;47;29;5;9059
09/04/2022;Hospital Santos Reyes;Burgos;114;114;56;0;0;0;0;9059
09/04/2022;Complejo Asistencial Universitario de León;León;850;876;595;44;53;28;5;24089
09/04/2022;Hospital El Bierzo;León;391;391;224;14;14;4;1;24089
09/04/2022;Complejo Asistencial de Segovia;Segovia;365;325;176;16;31;8;2;40004
09/04/2022;Complejo Asistencial de Soria;Soria;319;273;157;14;14;6;0;42173
09/04/2022;Hospital Universitario Río Hortega;Valladolid;573;549;394;33;41;27;3;47186
09/04/2022;Edificio Rondilla;Valladolid;0;0;0;0;0;0;0;47186
10/04/2022;Complejo Asistencial de Ávila;Ávila;422;360;231;14;14;5;0;5019
10/04/2022;Hospital El Bierzo;León;391;391;227;14;14;7;1;24089
10/04/2022;Complejo Asistencial Universitario de Palencia;Palencia;451;431;257;20;23;13;0;34120
10/04/2022;Complejo Asistencial Universitario de Salamanca;Salamanca;721;730;618;60;58;35;1;37274
10/04/2022;Complejo Asistencial de Soria;Soria;319;270;160;14;14;4;0;42173
10/04/2022;Hospital Clínico Universitario de Valladolid;Valladolid;674;658;412;57;66;34;2;47186
11/04/2022;Complejo Asistencial Universitario de León;León;850;876;653;44;53;31;5;24089
11/04/2022;Hospital El Bierzo;León;391;391;262;14;14;7;1;24089
11/04/2022;Hospital Universitario Río Hortega;Valladolid;573;548;440;33;41;29;7;47186
11/04/2022;Complejo Asistencial de Zamora;Zamora;395;358;308;17;19;7;0;49275
12/04/2022;Complejo Asistencial de Ávila;Ávila;422;360;249;14;14;7;0;5019
12/04/2022;Complejo Asistencial Universitario de Palencia;Palencia;451;431;253;20;23;12;0;34120
12/04/2022;Complejo Asistencial Universitario de Salamanca;Salamanca;721;720;575;60;58;38;1;37274
12/04/2022;Complejo Asistencial de Segovia;Segovia;365;325;212;16;31;10;2;40004
12/04/2022;Hospital de Medina del Campo;Valladolid;119;119;56;0;0;0;0;47186
12/04/2022;Hospital Universitario Río Hortega;Valladolid;573;548;437;33;41;33;6;47186
13/04/2022;Complejo Asistencial Universitario de Burgos;Burgos;842;769;527;42;47;28;3;9059
13/04/2022;Hospital Santiago Apóstol;Burgos;114;107;71;0;0;0;0;9059
13/04/2022;Hospital El Bierzo;León;391;391;266;14;14;7;1;24089
13/04/2022;Complejo Asistencial Universitario de Palencia;Palencia;451;431;254;20;23;12;0;34120
13/04/2022;Complejo Asistencial de Zamora;Zamora;395;356;302;17;19;5;1;49275
14/04/2022;Complejo Asistencial de Ávila;Ávila;422;360;213;14;14;9;0;5019
14/04/2022;Complejo Asistencial Universitario de Burgos;Burgos;842;773;461;42;47;30;4;9059
14/04/2022;Hospital Santos Reyes;Burgos;114;114;56;0;0;0;0;9059
14/04/2022;Complejo Asistencial Universitario de León;León;850;876;516;44;53;35;6;24089
14/04/2022;Hospital El Bierzo;León;391;391;232;14;14;6;2;24089
14/04/2022;Complejo Asistencial de Segovia;Segovia;365;325;197;16;31;5;1;40004
14/04/2022;Complejo Asistencial de Soria;Soria;319;274;148;14;14;5;0;42173
14/04/2022;Hospital Clínico Universitario de Valladolid;Valladolid;674;649;352;57;66;38;3;47186
15/04/2022;Hospital Santiago Apóstol;Burgos;114;109;50;0;0;0;0;9059
15/04/2022;Complejo Asistencial Universitario de León;León;850;876;523;44;53;29;4;24089
15/04/2022;Hospital de Medina del Campo;Valladolid;119;119;42;0;0;0;0;47186
15/04/2022;Hospital Universitario Río Hortega;Valladolid;573;547;367;33;41;28;5;47186
15/04/2022;Complejo Asistencial de Zamora;Zamora;395;356;248;17;19;5;1;49275
16/04/2022;Complejo Asistencial de Segovia;Segovia;365;325;188;16;31;10;1;40004
16/04/2022;Hospital Universitario Río Hortega;Valladolid;573;546;374;33;41;28;5;47186
16/04/2022;Edificio Rondilla;Valladolid;0;0;0;0;0;0;0;47186
16/04/2022;Complejo Asistencial de Zamora;Zamora;395;356;260;17;19;7;3;49275
17/04/2022;Complejo Asistencial Universitario de Salamanca;Salamanca;721;715;552;60;58;27;1;37274
17/04/2022;Complejo Asistencial de Soria;Soria;319;270;165;14;14;5;0;42173
17/04/2022;Hospital Clínico Universitario de Valladolid;Valladolid;674;647;413;57;66;34;2;47186
17/04/2022;Hospital de Medina del Campo;Valladolid;119;119;54;0;0;0;0;47186
18/04/2022;Complejo Asistencial Universitario de León;León;850;876;644;44;53;30;5;24089
